t,re,im,norm_sq
0.0000000000,0.0000000000,0.0000000000,1.0198344991
0.0000010000,0.0000000000,0.0000000000,1.0198670197
0.0000020000,0.0000000000,0.0000000000,1.0198995422
0.0000030000,0.0000000000,0.0000000000,1.0199320664
0.0000040000,0.0000000000,0.0000000000,1.0199645923
0.0000050000,0.0000000000,0.0000000000,1.0199971201
0.0000060000,0.0000000000,0.0000000000,1.0200296496
0.0000070000,0.0000000000,0.0000000000,1.0200621810
0.0000080000,0.0000000000,0.0000000000,1.0200947140
0.0000090000,0.0000000000,0.0000000000,1.0201272489
0.0000100000,0.0000000000,0.0000000000,1.0201597856
0.0000110000,0.0000000000,0.0000000000,1.0201923240
0.0000120000,0.0000000000,0.0000000000,1.0202248642
0.0000130000,0.0000000000,0.0000000000,1.0202574062
0.0000140000,0.0000000000,0.0000000000,1.0202899499
0.0000150000,0.0000000000,0.0000000000,1.0203224955
0.0000160000,0.0000000000,0.0000000000,1.0203550428
0.0000170000,0.0000000000,0.0000000000,1.0203875919
0.0000180000,0.0000000000,0.0000000000,1.0204201427
0.0000190000,0.0000000000,0.0000000000,1.0204526954
0.0000200000,0.0000000000,0.0000000000,1.0204852498
0.0000210000,0.0000000000,0.0000000000,1.0205178060
0.0000220000,0.0000000000,0.0000000000,1.0205503640
0.0000230000,0.0000000000,0.0000000000,1.0205829238
0.0000240000,0.0000000000,0.0000000000,1.0206154853
0.0000250000,0.0000000000,0.0000000000,1.0206480486
0.0000260000,0.0000000000,0.0000000000,1.0206806138
0.0000270000,0.0000000000,0.0000000000,1.0207131806
0.0000280000,0.0000000000,0.0000000000,1.0207457493
0.0000290000,0.0000000000,0.0000000000,1.0207783197
0.0000300000,0.0000000000,0.0000000000,1.0208108920
0.0000310000,0.0000000000,0.0000000000,1.0208434660
0.0000320000,0.0000000000,0.0000000000,1.0208760418
0.0000330000,0.0000000000,0.0000000000,1.0209086193
0.0000340000,0.0000000000,0.0000000000,1.0209411987
0.0000350000,0.0000000000,0.0000000000,1.0209737798
0.0000360000,0.0000000000,0.0000000000,1.0210063627
0.0000370000,0.0000000000,0.0000000000,1.0210389474
0.0000380000,0.0000000000,0.0000000000,1.0210715338
0.0000390000,0.0000000000,0.0000000000,1.0211041221
0.0000400000,0.0000000000,0.0000000000,1.0211367121
0.0000410000,0.0000000000,0.0000000000,1.0211693039
0.0000420000,0.0000000000,0.0000000000,1.0212018975
0.0000430000,0.0000000000,0.0000000000,1.0212344929
0.0000440000,0.0000000000,0.0000000000,1.0212670901
0.0000450000,0.0000000000,0.0000000000,1.0212996890
0.0000460000,0.0000000000,0.0000000000,1.0213322897
0.0000470000,0.0000000000,0.0000000000,1.0213648922
0.0000480000,0.0000000000,0.0000000000,1.0213974965
